id_compra,nome_pessoa,regiao,preço_do_produto
74,Ana Souza,Nordeste,"1.500,00"
14,Ana Souza,Nordeste,"80,00"
79,Ana Souza,Sul,"500,00"
62,Maria Oliveira,Sudeste,"80,00"
94,Ana Souza,Norte,"800,00"
66,João da Silva,Sudeste,"3.000,00"
42,Maria Oliveira,Centro-Oeste,"1.500,00"
64,Ana Souza,Sul,"800,00"
46,João da Silva,Nordeste,"50,00"
90,Carlos Santos,Sul,"80,00"
50,Carlos Santos,Centro-Oeste,"80,00"
8,Felipe Lima,Norte,"150,00"
92,Maria Oliveira,Sudeste,"1.200,00"
20,Carlos Santos,Sul,"500,00"
12,Maria Oliveira,Sudeste,"50,00"
59,Ana Souza,Norte,"1.500,00"
34,Ana Souza,Sudeste,"1.500,00"
10,Carlos Santos,Nordeste,"1.200,00"
72,Maria Oliveira,Centro-Oeste,"200,00"
84,Ana Souza,Norte,"200,00"
19,Ana Souza,Nordeste,"300,00"
100,Carlos Santos,Sul,"500,00"
48,Felipe Lima,Norte,"3.000,00"
16,João da Silva,Centro-Oeste,"200,00"
80,Carlos Santos,Nordeste,"300,00"
3,Carlos Santos,Norte,"3.000,00"
36,João da Silva,Sudeste,"150,00"
44,Ana Souza,Nordeste,"200,00"
40,Carlos Santos,Sul,"300,00"
30,Carlos Santos,Nordeste,"50,00"
86,João da Silva,Nordeste,"50,00"
32,Maria Oliveira,Sul,"200,00"
68,Felipe Lima,Centro-Oeste,"1.200,00"
70,Carlos Santos,Nordeste,"50,00"
82,Maria Oliveira,Sudeste,"1.500,00"
60,Carlos Santos,Sul,"500,00"
5,João da Silva,Centro-Oeste,"800,00"
1,João da Silva,Norte,"1.500,00"
22,Maria Oliveira,Nordeste,"80,00"
99,Ana Souza,Sudeste,"1.500,00"
39,Ana Souza,Norte,"500,00"
26,João da Silva,Nordeste,"3.000,00"
96,João da Silva,Centro-Oeste,"200,00"
52,Maria Oliveira,Centro-Oeste,"1.200,00"
76,João da Silva,Sudeste,"150,00"
88,Felipe Lima,Nordeste,"3.000,00"
28,Felipe Lima,Sul,"1.200,00"
54,Ana Souza,Centro-Oeste,"800,00"
24,Ana Souza,Sudeste,"800,00"
56,João da Silva,Sul,"200,00"
